账号,市场,证券代码,当前拥股,可用数量,在途数量,冻结数量,昨夜拥股,成本价,市值,盈亏
2____10140____100____49____1219020189____,SZ,000301,700,700,0,0,700,14.647,9667.00,-586.00
2____10140____100____49____1219020189____,SZ,000651,200,200,0,0,200,38.985,7696.00,-101.00
2____10140____100____49____1219020189____,SZ,000723,300,0,300,0,400,4.286,1152.00,-133.79
2____10140____100____49____1219020189____,SZ,000963,300,300,0,0,300,27.517,8139.00,-116.00
2____10140____100____49____1219020189____,SZ,000977,200,100,100,0,100,86.279,17138.00,-117.80
2____10140____100____49____1219020189____,SZ,000983,400,200,200,0,200,7.400,2788.00,-172.00
2____10140____100____49____1219020189____,SZ,000999,400,400,0,0,400,24.492,9656.00,-141.00
2____10140____100____49____1219020189____,SZ,002648,100,100,0,0,300,29.661,2749.00,-217.08
2____10140____100____49____1219020189____,SZ,002714,0,0,0,0,100,0.000,0.00,-30.79
2____10140____100____49____1219020189____,SZ,300250,200,0,200,0,100,17.009,3296.00,-105.80
2____10140____100____49____1219020189____,SZ,300347,0,0,0,0,200,0.000,0.00,-356.19
2____10140____100____49____1219020189____,SZ,300383,100,0,100,0,100,12.556,1215.00,-40.61
2____10140____100____49____1219020189____,SZ,300609,200,0,200,0,300,26.477,5010.00,-285.34
2____10140____100____49____1219020189____,SH,600025,1000,900,100,0,900,9.679,9900.00,221.00
2____10140____100____49____1219020189____,SH,600028,100,100,0,0,800,5.186,543.00,24.37
2____10140____100____49____1219020189____,SH,600161,700,700,0,0,700,12.367,8512.00,-145.00
2____10140____100____49____1219020189____,SH,600188,100,100,0,0,400,26.219,2195.00,-426.91
2____10140____100____49____1219020189____,SH,600346,100,100,0,0,500,21.119,1839.00,-272.88
2____10140____100____49____1219020189____,SH,600760,100,100,0,0,200,47.537,4810.00,56.32
2____10140____100____49____1219020189____,SH,600850,100,0,100,0,200,15.581,1459.00,-99.13
2____10140____100____49____1219020189____,SH,600919,100,100,0,0,100,12.270,1224.00,-3.00
2____10140____100____49____1219020189____,SH,601100,100,100,0,0,100,102.000,10028.00,-172.00
2____10140____100____49____1219020189____,SH,601136,300,0,300,0,600,16.689,4539.00,-467.79
2____10140____100____49____1219020189____,SH,601169,2100,1800,300,0,1800,5.465,11634.00,158.00
2____10140____100____49____1219020189____,SH,601229,200,200,0,0,200,9.615,1926.00,3.00
2____10140____100____49____1219020189____,SH,601288,1700,1500,200,0,1500,7.016,12002.00,74.00
2____10140____100____49____1219020189____,SH,601319,1600,1400,200,0,1400,7.750,12672.00,272.00
2____10140____100____49____1219020189____,SH,601328,1500,1300,200,0,1300,7.343,11145.00,131.00
2____10140____100____49____1219020189____,SH,601398,1400,1200,200,0,1200,8.124,11508.00,134.00
2____10140____100____49____1219020189____,SH,601658,2100,1800,300,0,1800,5.439,11676.00,254.00
2____10140____100____49____1219020189____,SH,601728,1800,1100,700,0,1100,6.461,11646.00,15.35
2____10140____100____49____1219020189____,SH,601857,1000,900,100,0,900,11.533,11260.00,-273.00
2____10140____100____49____1219020189____,SH,601872,100,100,0,0,100,18.690,1781.00,-88.00
2____10140____100____49____1219020189____,SH,601898,300,300,0,0,300,16.017,4503.00,-302.00
2____10140____100____49____1219020189____,SH,601919,100,100,0,0,100,17.190,1645.00,-74.00
2____10140____100____49____1219020189____,SH,601988,1900,1300,600,0,1300,6.644,12692.00,68.92
2____10140____100____49____1219020189____,SH,601998,200,200,0,0,200,8.865,1772.00,-1.00
2____10140____100____49____1219020189____,SH,688126,481,481,0,0,481,24.250,11279.45,-384.99
2____10140____100____49____1219020189____,SH,688223,1047,1047,0,0,1047,4.125,4240.35,-78.29
2____10140____100____49____1219020189____,SH,688396,0,0,0,0,209,0.000,0.00,-421.08
2____10140____100____49____1219020189____,SH,688472,481,0,481,0,0,8.977,4242.42,-75.44
2____10140____100____49____1219020189____,SH,601018,300,0,300,0,0,3.527,1041.00,-17.00
2____10140____100____49____1219020189____,SH,601600,100,0,100,0,0,9.710,960.00,-11.00
2____10140____100____49____1219020189____,SZ,000938,100,0,100,0,0,38.124,3799.00,-13.40
2____10140____100____49____1219020189____,SH,600039,100,0,100,0,0,9.600,952.00,-8.00
2____10140____100____49____1219020189____,SH,601225,300,0,300,0,0,27.038,7830.00,-281.26
2____10140____100____49____1219020189____,SH,600547,300,0,300,0,0,35.707,11367.00,654.96
